-40.892, 13.373, 37.016,door
-38,-9.102,27.904,key
27.468, -1.615, 15.677,key
-13.564,-25.545,35.347,block
-16.564,-25.545,35.347,block
-10.564,-25.545,35.347,block
-13.564,-23.545,35.347,block
-16.564,-23.545,35.347,block
-10.564,-23.545,35.347,block

-13.564,-21.545,35.347,block
-16.564,-21.545,35.347,block
-10.564,-21.545,35.347,block

-7.564,-23.545,35.347,block
-19.564,-23.545,35.347,block

-7.564,-25.545,35.347,block
-19.564,-25.545,35.347,block

-7.564,-21.545,35.347,block
-19.564,-21.545,35.347,block

-22.564,-23.545,35.347,block
-4.564,-23.545,35.347,block
-4.564,-23.545,35.347,block
-22.564,-23.545,35.347,block

-22.564,-25.545,35.347,block
-4.564,-25.545,35.347,block
-4.564,-25.545,35.347,block
-22.564,-25.545,35.347,block
